cityname,keyword,source,comments,processed_comments,positive_sentiment,negative_sentiment,neutral_sentiment
kolkata, Rishabh Pant equals Shikhar Dhawan's record for Delhi Capitals,Twitter,"['#DCvsKKR', ' ', '#DC', ' ', '#IPL2024', ' ', '#IPL', ' ', '#RishabhPant', 'Rishabh Pant equals Shikhar Dhawans record for Delhi CapitalsREAD: ', '#IPL2024', ' ', '#DCvKKR', ' ', '#RishabhPant', ' I would rather get all out as a team than...DC skipper ', ' says after a disappointing loss to KKRREAD: ', 'Rishabh Pant equals Dhawans record for DC ', '', '#cricketdaily', 'Couldnt see the timer: Pant laments DRS mistake vs KKR ', '', '#cricketdaily', 'Please visit ', ' to get all IPL 2024 cricket news and updates', '#TATAIPL', ' ', '#IPL2024', 'NEW DELHI: Delhi Capitals skipper Rishabh Pant showcased his prowess with a blistering knock of 55 runs off just 25 deliveries. # # # # # # # # # #', 'Please visit ', ' to get all IPL 2024 cricket news and updates', '#TATAIPL', ' ', '#IPL2024', 'We just didnt turn up on the day, said Delhi Capitals captain Rishabh Pant while asking his teammatesto introspect following the sides crushing 106-run']","[' ', ' ', ' ', ' ', 'Rishabh Pant equals Shikhar Dhawans record for Delhi CapitalsREAD: ', ' ', ' ', ' I would rather get all out as a team than...DC skipper ', ' says after a disappointing loss to KKRREAD: ', 'Rishabh Pant equals Dhawans record for DC ', '', 'Couldnt see the timer: Pant laments DRS mistake vs KKR ', '', 'Please visit ', ' to get all IPL 2024 cricket news and updates', ' ', 'NEW DELHI: Delhi Capitals skipper Rishabh Pant showcased his prowess with a blistering knock of 55 runs off just 25 deliveries. # # # # # # # # # #', 'Please visit ', ' to get all IPL 2024 cricket news and updates', ' ', 'We just didnt turn up on the day, said Delhi Capitals captain Rishabh Pant while asking his teammatesto introspect following the sides crushing 106-run']",2,1,18
kolkata," Shah Rukh Khan stands up to applaud Rishabh Pant's no-look shot, later hugs Delhi Capitals' captain",Twitter,"['Shah Rukh Khan stands up to applaud Rishabh Pants no-look shot, later hugs Delhi Capitals captain WATCH ', ' ', '', '#ShahRukhKhan', ' ', '#RishabhPant', ' ', '#IPL2024', ' ', '#DCvsKKR']","['Shah Rukh Khan stands up to applaud Rishabh Pants no-look shot, later hugs Delhi Capitals captain WATCH ', ' ', '', ' ', ' ', ' ']",0,0,6
